TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-28,2026-08-28,CM,NSE,STK,13689,INE035801013,AERONEU,EQ,,,,,AEROFLEX NEU LIMITED,83.99,83.99,80.25,80.68,81.01,81.88,,80.68,,,3586,293477.27,259,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,25065,INE0WL801011,AERON,SM,,,,,AERON COMPOSITE LIMITED,71.15,72.90,71.10,71.30,71.10,71.15,,71.30,,,14000,1004900.00,11,F1,1000,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,24830,INE0TSF01011,AESTHETIK,SM,,,,,AESTHETIK ENGINEERS LTD,72.00,72.50,71.50,71.85,71.85,72.00,,71.85,,,13000,934650.00,12,F1,1000,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,9810,INE0BWX01014,AETHER,EQ,,,,,AETHER INDUSTRIES LIMITED,1685.50,1717.00,1664.00,1696.80,1700.00,1677.30,,1696.80,,,443550,749287351.70,39734,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,25977,INE101I01011,AFCONS,EQ,,,,,AFCONS INFRASTRUCTURE LTD,284.00,292.00,284.00,286.65,286.00,285.05,,286.65,,,728796,210185778.40,14358,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,11343,INE00WC01027,AFFLE,EQ,,,,,AFFLE 3I LIMITED,1650.30,1659.00,1615.90,1620.20,1619.00,1650.30,,1620.18,,,133536,218155714.50,15928,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,25857,INE692Z01013,AFFORDABLE,BE,,,,,AFFORD ROBO & AUTO LTD,166.00,168.95,162.15,165.31,165.40,167.47,,165.47,,,5551,918729.43,168,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,764159,INE916Y07099,115AFIL28A,N0,,,,,AFIL 11.50% 2028,9914.00,9914.00,9914.00,9914.00,9914.00,9943.00,,9914.00,,,106,1050884.00,3,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,759098,INE916Y07040,12AFIL27A,N0,,,,,AFIL 12% 2027,9987.80,9987.80,9987.80,9987.80,9987.80,9987.80,,9987.80,,,1,9987.80,1,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,14263,INE0MLA01012,AGARWALFT,SM,,,,,AGARWAL FLOAT GLASS I LTD,30.05,30.05,30.05,30.05,30.05,31.60,,30.05,,,4500,135225.00,3,F1,1500,,,,,
